OMRÅDE;ALDER;CIVILSTAND;TID;INDHOLD
Hele landet;I alt;Gift/separeret;2021K1;2136102
Hele landet;I alt;Ugift;2021K1;2861497
Hele landet;0 år;Gift/separeret;2021K1;0
Hele landet;0 år;Ugift;2021K1;61191
Hele landet;1 år;Gift/separeret;2021K1;0
Hele landet;1 år;Ugift;2021K1;61663
Hele landet;2 år;Gift/separeret;2021K1;0
Hele landet;2 år;Ugift;2021K1;61967
Hele landet;3 år;Gift/separeret;2021K1;0
Hele landet;3 år;Ugift;2021K1;62185
Hele landet;4 år;Gift/separeret;2021K1;0
Hele landet;4 år;Ugift;2021K1;62844
Hele landet;5 år;Gift/separeret;2021K1;0
Hele landet;5 år;Ugift;2021K1;59740
Hele landet;6 år;Gift/separeret;2021K1;0
Hele landet;6 år;Ugift;2021K1;59064
Hele landet;7 år;Gift/separeret;2021K1;0
Hele landet;7 år;Ugift;2021K1;58551
Hele landet;8 år;Gift/separeret;2021K1;0
Hele landet;8 år;Ugift;2021K1;60898
Hele landet;9 år;Gift/separeret;2021K1;0
Hele landet;9 år;Ugift;2021K1;62107
Hele landet;10 år;Gift/separeret;2021K1;0
Hele landet;10 år;Ugift;2021K1;66696
Hele landet;11 år;Gift/separeret;2021K1;0
Hele landet;11 år;Ugift;2021K1;66428
Hele landet;12 år;Gift/separeret;2021K1;0
Hele landet;12 år;Ugift;2021K1;68834
Hele landet;13 år;Gift/separeret;2021K1;0
Hele landet;13 år;Ugift;2021K1;67896
Hele landet;14 år;Gift/separeret;2021K1;0
Hele landet;14 år;Ugift;2021K1;68720
Hele landet;15 år;Gift/separeret;2021K1;0
Hele landet;15 år;Ugift;2021K1;67877
Hele landet;16 år;Gift/separeret;2021K1;0
Hele landet;16 år;Ugift;2021K1;68246
Hele landet;17 år;Gift/separeret;2021K1;0
Hele landet;17 år;Ugift;2021K1;68088
Hele landet;18 år;Gift/separeret;2021K1;17
Hele landet;18 år;Ugift;2021K1;67657
Hele landet;19 år;Gift/separeret;2021K1;84
